Label,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Denmark,32.0,50.0,53.0,62.0,54.0,50.0,89.0,65.0,78.0,80.0,97.0,68.0,91.0,83.0,106.0,138.0,119.0,130.0,153.0,188.0,186.0,192.0,246.0,246.0,245.0,273.0,276.0,271.0,264.0,299.0,318.0,336.0,377.0,421.0,421.0,509.0,457.0,508.0,505.0,496.0,618.0,565.0,585.0,624.0,669.0,726.0,702.0,824.0,767.0,804.0,798.0,933.0,1002.0,893.0,916.0,890.0,1023.0,1115.0,1056.0,1065.0,1238.0,1224.0,1440.0,1537.0,1625.0,1733.0,2032.0,1940.0,2263.0,2192.0,2155.0,2389.0,2316.0,2621.0,2520.0,2805.0,2749.0,2711.0,2909.0,3041.0,3044.0
Norway,-,-,-,-,-,-,-,-,-,-,61.0,92.0,75.0,97.0,92.0,106.0,121.0,116.0,142.0,165.0,161.0,175.0,181.0,179.0,229.0,227.0,216.0,253.0,293.0,281.0,335.0,363.0,384.0,429.0,456.0,463.0,400.0,547.0,530.0,525.0,630.0,604.0,657.0,699.0,671.0,782.0,883.0,878.0,891.0,897.0,856.0,936.0,987.0,878.0,1041.0,893.0,955.0,997.0,1017.0,1029.0,1034.0,1053.0,1162.0,1217.0,1225.0,1296.0,1434.0,1542.0,1755.0,1787.0,1749.0,2051.0,2045.0,2135.0,2230.0,2337.0,2345.0,2352.0,2459.0,2910.0,2950.0
Sweden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,236.0,288.0,258.0,291.0,326.0,395.0,405.0,401.0,455.0,510.0,547.0,521.0,564.0,619.0,627.0,655.0,723.0,809.0,856.0,813.0,945.0,859.0,987.0,974.0,1147.0,1153.0,1177.0,1218.0,1222.0,1308.0,1561.0,1360.0,1301.0,1444.0,1602.0,1545.0,1530.0,1716.0,1595.0,1623.0,1627.0,1863.0,1939.0,1911.0,1991.0,2119.0,2246.0,2331.0,2610.0,2772.0,2817.0,3205.0,3215.0,3222.0,3644.0,3736.0,4020.0,3874.0,4209.0,4290.0,4198.0,4682.0,5015.0,5112.0
