lat,lon,uv_month_1,uv_month_2,uv_month_3,uv_month_4,uv_month_5,uv_month_6,uv_month_7,uv_month_8,uv_month_9,uv_month_10,uv_month_11,uv_month_12
19.56,1.82,1.435960729312763,1.7746995377503851,2.2323001402524545,2.507782608695652,2.520140252454418,2.402507246376812,2.4818653576437586,2.4307152875175313,2.2568840579710145,1.9160448807854136,1.5614782608695654,1.3191444600280504
19.56,2.82,1.4542215988779803,1.7832203389830508,2.2259186535764375,2.5250289855072463,2.5413183730715287,2.4167391304347827,2.5006451612903224,2.453352033660589,2.2666231884057972,1.920070126227209,1.5685362318840579,1.3291444600280504
19.56,3.82,1.4208415147265079,1.7432819722650232,2.1700420757363252,2.476927536231884,2.524726507713885,2.4156231884057973,2.5250350631136045,2.4858765778401124,2.277072463768116,1.8866619915848528,1.5408260869565218,1.3102103786816268
19.56,4.82,1.4635203366058906,1.8085516178736518,2.2064796633941093,2.4600579710144928,2.558373071528752,2.4362753623188405,2.525736325385694,2.506479663394109,2.3053333333333335,1.9169705469845721,1.5777826086956523,1.3692286115007013
19.56,5.82,1.4715287517531557,1.8445608628659473,2.2060168302945304,2.4639565217391306,2.528471248246844,2.3968840579710142,2.544754558204769,2.5471528751753154,2.324130434782609,1.9040673211781205,1.5880289855072465,1.377741935483871
19.56,6.82,1.4643057503506312,1.8552234206471494,2.2003786816269284,2.486782608695652,2.5101683029453015,2.4347826086956523,2.568892005610098,2.5388779803646564,2.335826086956522,1.9171107994389902,1.5808840579710144,1.3840112201963535
20.56,0.82,1.346914446002805,1.679738058551618,2.1127910238429175,2.4052173913043475,2.4462131837307153,2.3729130434782606,2.4412622720897614,2.4036605890603084,2.1788985507246377,1.8086535764375875,1.459623188405797,1.2376157082748946
20.56,1.82,1.33984572230014,1.6704160246533126,2.1394389901823283,2.452782608695652,2.4961150070126226,2.4018405797101448,2.487138849929874,2.434852734922861,2.21631884057971,1.8373071528751752,1.4821884057971015,1.2456381486676016
20.56,2.82,1.3557784011220195,1.6973343605546996,2.1800280504908836,2.475,2.5144179523141656,2.4283333333333332,2.500224403927069,2.436030855539972,2.2244202898550722,1.8617110799438992,1.495231884057971,1.2466900420757363
20.56,3.82,1.3601122019635343,1.6841602465331278,2.1856661991584856,2.4523623188405796,2.529579242636746,2.43331884057971,2.540140252454418,2.4868162692847124,2.2437391304347827,1.8483870967741938,1.4905652173913044,1.2458064516129033
20.56,4.82,1.3828471248246845,1.7317103235747304,2.1869985974754558,2.451753623188406,2.533618513323983,2.423826086956522,2.5305329593267882,2.493309957924264,2.249768115942029,1.857194950911641,1.5199420289855072,1.2654698457223001
20.56,5.82,1.3946984572230015,1.767673343605547,2.189256661991585,2.466391304347826,2.5135483870967743,2.4061884057971015,2.5587517531556805,2.526535764375877,2.260333333333333,1.859789621318373,1.520391304347826,1.2854277699859746
20.56,6.82,1.375203366058906,1.7455624036979966,2.166493688639551,2.4514202898550725,2.4962973352033657,2.412144927536232,2.5545582047685835,2.514165497896213,2.2688260869565218,1.8717812061711079,1.5188695652173914,1.2798877980364656
20.56,7.82,1.3724403927068722,1.7148228043143299,2.1891164095371667,2.426405797101449,2.534179523141655,2.507942028985507,2.6436185133239833,2.557798036465638,2.3033768115942026,1.8712201963534363,1.5264927536231883,1.276030855539972
21.56,-0.18,1.2927068723702666,1.6129121725731894,2.003029453015428,2.3724927536231886,2.4424824684431976,2.40136231884058,2.4285974754558204,2.3290042075736324,2.113289855072464,1.7659607293127628,1.3903043478260868,1.1603225806451611
21.56,0.82,1.3025946704067322,1.6411710323574729,2.0702244039270687,2.3994782608695653,2.459523141654979,2.3958260869565216,2.429130434782609,2.3413884992987377,2.129289855072464,1.7807854137447405,1.4012463768115941,1.1730434782608696
21.56,1.82,1.3059467040673212,1.6548228043143298,2.108849929873773,2.4501159420289853,2.501654978962132,2.4294347826086957,2.477475455820477,2.3581346423562413,2.159942028985507,1.8020336605890601,1.4417826086956522,1.1839831697054697
21.56,2.82,1.2990603085553998,1.6541294298921416,2.124866760168303,2.465768115942029,2.4992987377279103,2.440550724637681,2.4880364656381486,2.3748106591865357,2.156,1.8062692847124824,1.4226521739130435,1.1944039270687237
21.56,3.82,1.3415007012622722,1.6897996918335902,2.1500280504908837,2.4830289855072465,2.525343618513324,2.457695652173913,2.558232819074334,2.4707152875175313,2.2114927536231885,1.8221178120617112,1.466217391304348,1.2402664796633942
21.56,4.82,1.3428471248246845,1.7418798151001542,2.229438990182328,2.5406666666666666,2.5599579242636747,2.477072463768116,2.5608695652173914,2.4642356241234222,2.219014492753623,1.8428892005610098,1.4714347826086955,1.2359186535764377
21.56,5.82,1.32726507713885,1.6807550077041602,2.1967461430575033,2.4675797101449275,2.5404488078541374,2.492304347826087,2.6271669004207574,2.5400280504908834,2.2438115942028984,1.8306591865357644,1.4586521739130436,1.2072650771388498
21.56,6.82,1.3336044880785414,1.6741756548536209,2.151570827489481,2.443536231884058,2.517208976157083,2.495405797101449,2.6164796633941094,2.5357924263674616,2.2513043478260872,1.8200280504908837,1.4531449275362318,1.2097615708274896
21.56,7.82,1.3454277699859747,1.7040061633281973,2.1919354838709677,2.473231884057971,2.553758765778401,2.561521739130435,2.717938288920056,2.6008835904628334,2.2984057971014495,1.8530995792426368,1.47231884057971,1.2293408134642356
21.56,8.82,1.3910518934081346,1.7755161787365177,2.210813464235624,2.492768115942029,2.5950350631136043,2.5963623188405798,2.797938288920056,2.6521458625525947,2.3465652173913045,1.9062692847124825,1.505768115942029,1.2742636746143057
21.56,9.82,1.416297335203366,1.7958859784283512,2.2255820476858346,2.4898550724637682,2.582454417952314,2.6257101449275364,2.814123422159888,2.676647966339411,2.330405797101449,1.922875175315568,1.5157246376811593,1.2877419354838708
22.56,-2.18,1.1755119214586256,1.4926040061633283,1.8963394109396914,2.278449275362319,2.368948106591865,2.3438985507246377,2.3781065918653574,2.271500701262272,2.0220434782608696,1.6823001402524544,1.304449275362319,1.0745301542777
22.56,-1.18,1.2207293127629733,1.5584591679506934,1.930617110799439,2.328521739130435,2.424319775596073,2.38368115942029,2.4286676016830295,2.290336605890603,2.042510885341074,1.7202244039270687,1.3042173913043478,1.0739831697054698
22.56,-0.18,1.2252875175315567,1.5627580893682589,1.9960168302945303,2.3511739130434783,2.4577138849929874,2.415391304347826,2.4330014025245443,2.29765778401122,2.0807101449275365,1.7384011220196354,1.3239710144927537,1.0930855539971949
22.56,0.82,1.2217952314165497,1.5644530046224963,1.9838709677419355,2.3643333333333336,2.4540112201963535,2.416217391304348,2.4415988779803643,2.3169985974754557,2.09431884057971,1.740813464235624,1.339536231884058,1.09781206171108
22.56,1.82,1.202398316970547,1.5264560862865948,1.9603927068723703,2.3427826086956522,2.4621037868162694,2.433478260869565,2.487054698457223,2.338892005610098,2.1122898550724636,1.7330434782608697,1.3400724637681158,1.0910098176718093
22.56,2.82,1.2183450210378681,1.5451155624036979,1.962258064516129,2.340217391304348,2.4531977559607294,2.3922463768115945,2.450827489481066,2.3379663394109396,2.110246376811594,1.7368443197755958,1.3395507246376812,1.1119354838709676
22.56,3.82,1.2219354838709677,1.6009090909090908,2.0612762973352035,2.399057971014493,2.5051192145862555,2.4537391304347826,2.555189340813464,2.4327910238429173,2.1660724637681157,1.7536605890603083,1.3600579710144929,1.123422159887798
22.56,4.82,1.2705189340813463,1.6052696456086286,2.020743338008415,2.394724637681159,2.5196774193548386,2.4632028985507244,2.5742075736325387,2.436100981767181,2.19395652173913,1.7964235624123421,1.3971449275362318,1.1606591865357643
22.56,5.82,1.3163674614305751,1.6763328197226504,2.146690042075736,2.4534202898550723,2.561921458625526,2.5226086956521736,2.6648948106591863,2.520953716690042,2.2691739130434785,1.8536746143057505,1.4416521739130435,1.1903786816269284
22.56,6.82,1.2974474053295932,1.6591063174114022,2.1373071528751755,2.4462608695652177,2.541711079943899,2.5147826086956524,2.6477980364656384,2.5199719495091166,2.2480434782608696,1.8233660589060308,1.4383333333333335,1.1849649368863955
22.56,7.82,1.2686115007012622,1.62326656394453,2.122524544179523,2.4074927536231887,2.546437587657784,2.5772173913043477,2.734361851332398,2.579817671809257,2.2673478260869566,1.8194950911640952,1.4083478260869564,1.1549789621318374
22.56,8.82,1.3195091164095372,1.6693528505392914,2.11929873772791,2.4080579710144927,2.5593408134642357,2.593536231884058,2.763015427769986,2.6198316970546984,2.283144927536232,1.8264235624123422,1.405304347826087,1.1903085553997195
