year,uv_mean,ozone_mean,ocean_temp_c_mean,ocean_salinity_mean,ocean_oxygen_mean
1981,,341.0365205479452,9.042537313432835,33.934922077922074,
1982,,345.55405479452054,12.28064516129032,34.13464516129033,
1983,,319.2366575342466,8.733333333333334,34.64455555555555,
1984,,335.0910655737705,14.11,32.6355,
1985,,340.11950684931503,3.575,34.16825,
1988,,336.67803278688524,8.923655913978495,,
1989,,332.92687671232875,7.677222222222222,34.730000000000004,
1990,,327.9203561643835,17.425,33.39725,
1997,,318.0776164383562,13.735837696335079,30.104519531250002,
1998,,336.81063013698633,10.139897158322057,29.965074695534508,
1999,,337.8834794520548,13.80382681058916,30.657792799855276,
2000,,322.52306010928964,12.690693808720788,28.484244519392917,
2001,0.42682191780821915,338.56860273972603,10.782802231866087,29.480009090909093,
2002,0.46183561643835613,324.6274794520548,5.380888136686009,21.6699193088408,
2003,0.4312328767123288,326.1421917808219,12.833619521012203,29.098597859327217,
2004,0.42215846994535516,332.67431693989073,9.39189557407619,30.54028657195234,
2005,0.43627397260273976,315.77660273972606,11.750845283018869,29.73590462228355,
2006,0.4386575342465754,330.42868493150684,14.129096601820155,30.505648826577264,
2007,0.4456164383561644,321.1245479452055,11.902985922558395,32.551850181159416,
2008,0.43885245901639347,321.52081967213115,8.95486837932128,,
2012,0.4059016393442623,320.69535519125685,8.773099415204678,,
2013,0.4329315068493151,334.3151780821918,6.23213611525087,,
