REGISTRY,SEX,AGE_GROUP,P0_4,P5_9,P10_14,P15_19,P20_24,P25_29,P30_34,P35_39,P40_44,P45_49,P50_54,P55_59,P60_64,P65_69,P70_74,P75_79,P80_84,P85,P_unk
415606399,1,18,34496,39379,29867,33626,42309,34588,38013,50646,90609,116916,40519,68955,53777,32605,31892,22185,11574,4597,0
415606399,2,18,32709,39063,25905,34262,47387,37249,38626,48445,80990,113404,35884,60858,44938,28070,26006,22384,12630,7032,0
415606599,1,18,107246,137640,186258,150692,136598,171667,186304,160001,120353,125193,93427,68487,61677,49909,35323,20316,8986,3680,0
415606599,2,18,89528,119537,171466,143226,133193,163819,176892,151365,111409,118773,87160,63794,57292,49309,37632,25121,13805,7741,0
415606799,1,18,172779,214840,191536,155291,209695,296453,206029,183498,223836,277166,196950,168664,167872,108714,85457,61379,38080,26045,0
415606799,2,18,149233,183210,153606,130353,191165,267797,182671,160797,204949,260730,189763,151713,160183,105407,77089,66005,52903,54465,0
415606899,1,18,159456,169800,154366,135474,142178,216956,230303,189739,179050,220140,194304,147716,150335,108937,70008,46813,34072,25329,0
415606899,2,18,137826,142393,127301,108054,120880,216151,237222,195700,183027,219298,187011,143356,155802,118909,77291,56147,40657,32676,0
415607199,1,18,183827,172488,180246,232171,286484,227397,222025,270369,284693,240526,180842,183827,133693,93106,73411,50732,26262,13728,0
415607199,2,18,153388,145032,155179,214863,284096,224413,213072,257836,273950,232171,171890,180246,128917,91317,74008,56103,33423,22680,0
415607399,1,18,143592,129422,113322,143360,163407,229928,220791,271523,285796,267439,246116,173052,133333,106227,88724,69798,36570,13441,0
415607399,2,18,134613,120025,107470,146103,171127,223219,218352,268291,273371,242883,223250,174184,143934,118550,95988,71876,35901,14641,0
415607599,1,18,72026,77532,93547,119119,119795,101741,127751,160063,170456,136304,83375,99035,80873,63385,47149,29351,13788,5466,0
415607599,2,18,65085,69077,82718,107798,115603,110742,132712,162153,170247,136769,82331,101416,80960,62314,46808,32620,18640,11587,0
415607699,1,18,100235,100489,84416,87693,186915,173872,137649,138345,162943,176791,163767,90721,95243,63553,45571,27467,13307,6909,0
415607699,2,18,80263,77707,63185,60220,118896,157315,164231,119606,141389,158476,154069,81950,89633,60367,47764,32245,17990,9963,0
415607899,1,18,112148,138344,181661,119442,119188,142666,137142,109908,94077,117888,144028,115112,81028,85145,51324,30333,13149,7863,0
415607899,2,18,99288,127568,161480,99043,115048,138636,131061,100106,90127,102957,141987,109933,79879,85575,51927,35239,20010,17585,0
415608099,1,18,118905,100352,111065,144958,204147,222810,193103,275276,278660,221418,150204,149895,129516,99960,78147,52838,33203,18020,0
415608099,2,18,110707,93674,106341,159974,240909,242075,196734,270109,264228,209891,144824,165516,147259,106889,77401,53461,33267,21502,0
415608199,1,18,57975,58611,74954,93019,113727,119858,95272,112690,153491,181586,173245,147417,140123,107747,60857,43791,32307,16400,0
415608199,2,18,55220,58680,73048,91305,113544,121290,101559,121410,161580,183707,170562,144177,142377,109210,60764,44223,40110,28873,0
415608499,1,18,111378,107820,95698,120067,168683,176256,170533,187041,225427,233118,207975,201944,151367,108763,83232,64447,35880,23063,0
415608499,2,18,96712,95648,82516,105930,153608,164475,155759,180236,236098,216723,194145,191955,143949,108774,86364,69432,39005,26737,0
415608699,1,18,267375,235525,249493,377381,508229,339411,268123,295259,441853,374197,253758,279570,177815,146260,107903,80763,42607,19764,0
415608699,2,18,184868,167656,158810,241054,430949,299530,249545,289890,428505,390366,243638,264550,174049,158422,118090,96923,57874,38470,0
415609099,1,18,213163,135594,132637,148814,257741,208649,101471,146107,160256,179808,150773,134443,110246,50042,34854,26627,11053,3806,0
415609099,2,18,170452,114237,91295,115178,248179,198444,88142,133311,149162,174690,135211,131512,111785,54526,37712,30478,15423,6919,0
415609299,1,18,267241,248879,221514,232609,322117,460523,476814,484643,499395,502359,485076,444375,481053,389329,249317,173764,105938,67199,0
415609299,2,18,247447,228813,205846,219774,314319,496129,517143,498098,517660,546830,508449,433966,482055,381045,241383,185486,136374,118812,0
415609399,1,18,59132,90356,104581,87680,87644,71600,67000,79761,125040,134129,113159,83212,72174,53576,33675,28538,19047,11283,0
