lat,lon,uv_mean
-33.02,-53.74,1.4175488095238096
-33.02,-52.24,1.457070238095238
-31.52,-56.74,1.5355464285714286
-31.52,-55.24,1.5157630952380952
-31.52,-53.74,1.4990880952380952
-31.52,-52.24,1.452892857142857
-31.52,-50.74,1.5338107142857142
-30.02,-58.24,1.5638380952380952
-30.02,-56.74,1.5728916666666668
-30.02,-55.24,1.5565845238095237
-30.02,-53.74,1.5427857142857142
-30.02,-52.24,1.5086095238095238
-30.02,-50.74,1.5272416666666666
-30.02,-49.24,1.584917857142857
-28.52,-56.74,1.593952380952381
-28.52,-55.24,1.5918761904761904
-28.52,-53.74,1.6018214285714285
-28.52,-52.24,1.601357142857143
-28.52,-50.74,1.598340476190476
-28.52,-49.24,1.4935404761904763
-27.02,-55.24,1.6166595238095238
-27.02,-53.74,1.6341238095238095
-27.02,-52.24,1.6422285714285714
-27.02,-50.74,1.576870238095238
-27.02,-49.24,1.5168059523809523
-27.02,-47.74,1.6541821428571428
-25.52,-55.24,1.702402380952381
-25.52,-53.74,1.7103095238095238
-25.52,-52.24,1.7308535714285715
-25.52,-50.74,1.627202380952381
-25.52,-49.24,1.601952380952381
-25.52,-47.74,1.666940476190476
-24.02,-55.24,1.737247619047619
-24.02,-53.74,1.7526940476190476
-24.02,-52.24,1.7553238095238095
-24.02,-50.74,1.7300809523809524
-24.02,-49.24,1.6643130952380951
-24.02,-47.74,1.510232142857143
-24.02,-46.24,1.6367547619047618
-24.02,-44.74,1.7806821428571429
-22.52,-58.24,1.769552380952381
-22.52,-56.74,1.8078916666666667
-22.52,-55.24,1.809175
-22.52,-53.74,1.843275
-22.52,-52.24,1.8444999999999998
-22.52,-50.74,1.8543845238095238
-22.52,-49.24,1.8514714285714287
-22.52,-47.74,1.8693190476190478
-22.52,-46.24,1.8629130952380952
-22.52,-44.74,1.7762916666666666
-22.52,-43.24,1.7259988095238095
-22.52,-41.74,1.8568416666666665
-22.52,-40.24,1.9187833333333335
-21.02,-58.24,1.8162714285714285
-21.02,-56.74,1.847979761904762
-21.02,-55.24,1.8590047619047618
